Name,ShortDescription,FullDescription,SKU,IsShipEnabled,IsTaxExempt,TaxCategory,ManageInventoryMethod,StockQuantity,Price,Weight,Length,Width,Height,Categories,Picture1,Picture2,Picture3
"1006    Screw, Nuts & Bolts",,"<p>These chunky nuts and bolts come in 4 shapes and 4 colors. Tightening and unscrewing the bolts improves co-ordination and fine motor skills.</p>
<p>&nbsp;Age Group : 2 +.</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Learning & Education;,C:\www\NOPCommerce\content\images\thumbs\0000311_1006-screw-nuts-bolts.jpeg,,
1087     Mystry Egg Blocks,,"<p>With 8 eggs(16 half), In various shapes and colorful symbols, inspire baby hand-eye coordination. Let the children pair one half of the egg with the other half of the same color and shape.</p>
<p>&nbsp;Age Group : 2 +.</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Learning & Education;,C:\www\NOPCommerce\content\images\thumbs\0000312_1087-mystry-egg-blocks.jpeg,,
12064        5 Activity Stackers,,"<p>Children can play shape sorting, lacing, bead sliding, disc spinning, washboard scratching, belt buckling, hard buttoning, soft buttoning, shoe lacing and zippering. They can also stack them up to build a tower or nest them for compact storing.<br />When fully stacked, the boxes stand approximately 40cm high. Two lacing strings are included. Fabric is removable for easy cleaning.<br />Produced from sustainable rubberwood and finished with non toxic paints and lacquers.</p>
<p>Size : 17 x 17 x 40 cm. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Age Group : 3 +.</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Learning & Education;,C:\www\NOPCommerce\content\images\thumbs\0000293_12064-5-activity-stackers.jpeg,C:\www\NOPCommerce\content\images\thumbs\0000294_12064-5-activity-stackers.jpeg,C:\www\NOPCommerce\content\images\thumbs\0000295_12064-5-activity-stackers.jpeg
2018             Play Dough,,"<p>Developed specially for early learning, this dough is extremely soft and easy for small hands to manipulate. The dough is clean, with bright color and is odourless. The airtight container keeps the dough crumble free and ready for play. &nbsp;Comes in different colors with variety of moulds.</p>
<p>Size : 100 gms x 8 .</p>
<p>&nbsp;Age &nbsp; &nbsp; : 3+ .</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Art & Craft;,C:\www\NOPCommerce\content\images\thumbs\0000670_2018-play-dough.jpeg,,
2035        Flip Kick,,"<p>The aim of Flip Kick is to get the ball through the opponent's goal.<br />Start the game by releasing the ball through one of the side holes. Press the right or left flip kick buttons to either kick the ball forward or block the opponent's shot. Mark a score by sliding a bead along the score track. The player with the highest score is the winner.<br />Produced from sustainable rubberwood and finished with non toxic paints and lacquers.</p>
<p>&nbsp;Size : &nbsp;39 x 58 x 7 cm. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Age Group : 3 +.</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Games & Puzzle;,C:\www\NOPCommerce\content\images\thumbs\0000224_2035-flip-kick.jpeg,,
2083             Play Dough,,"<p>Developed specially for early learning, this dough is extremely soft and easy for small hands to manipulate. The dough is clean, with bright color and is odourless. The airtight container keeps the dough crumble free and ready for play. &nbsp;Comes in different colors with variety of moulds.</p>
<p>Size :&nbsp;57gms x 5 .</p>
<p>&nbsp;Age &nbsp; &nbsp; : 3+ .</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Art & Craft;,C:\www\NOPCommerce\content\images\thumbs\0000667_2083-play-dough.jpeg,,
2086             Play Dough,,"<p>Developed specially for early learning, this dough is extremely soft and easy for small hands to manipulate. The dough is clean, with bright color and is odourless. The airtight container keeps the dough crumble free and ready for play. &nbsp;Comes in different colors with variety of moulds.</p>
<p>Size :&nbsp;57gms x 10 .</p>
<p>&nbsp;Age &nbsp; &nbsp; : 3+ .</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Art & Craft;,C:\www\NOPCommerce\content\images\thumbs\0000676_2086-play-dough.jpeg,,
2093           Play Dough - Food Set,,"<p>This super-fun Play-Dough set let kids press, mold, twist and cook up a meal that looks almost good enough to eat.</p>
<p>&nbsp;Age &nbsp; &nbsp; : 3+ .</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Art & Craft;,C:\www\NOPCommerce\content\images\thumbs\0000672_2093-play-dough-food-set.jpeg,,
2094         Play Dough - Animal Set,,"<p>In this whimsical adventure, children join a friendly octopus as he explores under the sea!</p>
<p>&nbsp;Age &nbsp; &nbsp; : 3+ .</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Art & Craft;,C:\www\NOPCommerce\content\images\thumbs\0000674_2094-play-dough-animal-set.jpeg,,
2097     Slope Tumbler Roller,,"<p>This roller activity features 3 functions in 1 toy including a slope roller, step tumbler, and a ladder tumbler.<br />The set includes 3 rolling balls, 1 tumble bean and 2 acrobat.</p>
<p>&nbsp;Size : 35 x 6.5 x 42 cms. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Age Group : 18 M +.</p>",,TRUE,FALSE,, Dont Manage Stock,10000,0,0,0,0,0,Learning & Education;,C:\www\NOPCommerce\content\images\thumbs\0000308_2097-slope-tumbler-roller.jpeg,,
